NO,TITLE,CONTEXT,PERTANYAAN1,PERTANYAAN2,PERTANYAAN3,PERTANYAAN4,PERTANYAAN5,PERTANYAAN6,PERTANYAAN7,PERTANYAAN8,PERTANYAAN9,PERTANYAAN10,PERTANYAAN11,PERTANYAAN12,PERTANYAAN13,PERTANYAAN14,PERTANYAAN15,PERTANYAAN16,PERTANYAAN17,PERTANYAAN18,PERTANYAAN19,PERTANYAAN20,PERTANYAAN21,PERTANYAAN22,PERTANYAAN23,PERTANYAAN24,PERTANYAAN25,PERTANYAAN26,PERTANYAAN27,PERTANYAAN28,PERTANYAAN29,PERTANYAAN30,PERTANYAAN31,PERTANYAAN32,PERTANYAAN33,PERTANYAAN34,PERTANYAAN35,PERTANYAAN36,PERTANYAAN37,PERTANYAAN38,PERTANYAAN39,PERTANYAAN40,PERTANYAAN41,PERTANYAAN42,PERTANYAAN43,PERTANYAAN44,PERTANYAAN45,PERTANYAAN46,PERTANYAAN47,PERTANYAAN48,PERTANYAAN49,PERTANYAAN50,PERTANYAAN51,PERTANYAAN52,PERTANYAAN53,PERTANYAAN54,PERTANYAAN55,PERTANYAAN56,PERTANYAAN57,PERTANYAAN58,PERTANYAAN59,PERTANYAAN60
21,"Jika pindah sekolah, apakah nilai beda berpengaruh?","Untuk jalur PBU, syaratnya adalah siswa termasuk 25% terbaik di kelas berdasarkan nilai semester 1 sampai 5.","Jika pindah sekolah, apakah nilai beda berpengaruh?",Apa syarat akademik utama untuk mendaftar jalur PBU?,Berapa batas persentase peringkat kelas yang bisa ikut jalur PBU?,Nilai dari semester berapa saja yang dihitung untuk syarat PBU?,Apakah siswa peringkat 30 persen di kelas bisa mendaftar jalur PBU?,Siapa saja yang berhak mendaftar jalur PBU berdasarkan peringkat kelas?,Bagaimana ketentuan nilai rapor untuk masuk jalur PBU?,Apakah nilai semester 6 dihitung untuk seleksi PBU?,Berapa persen siswa terbaik di kelas yang memenuhi syarat PBU?,Syarat nilai untuk jalur PBU menggunakan evaluasi dari semester berapa?,Apakah siswa harus masuk 25 persen terbaik untuk ikut PBU?,Rina selalu mendapat peringkat 1 di kelas sejak semester 1 hingga semester 5. Apakah ia memenuhi syarat akademik jalur PBU?,"Budi baru masuk 20 persen terbaik di kelas saat semester 6, sedangkan sebelumnya selalu di bawah 30 persen. Apakah Budi bisa mendaftar PBU?",Sisca adalah siswa pindahan yang saat ini berada di peringkat 10 persen terbaik berdasarkan akumulasi nilai semester 1 sampai 5. Bolehkah dia ikut PBU?,"Andi bertanya-tanya apakah dia bisa ikut PBU karena peringkatnya turun naik, tapi rata-rata semester 1 sampai 5 masuk 25 persen terbaik. Bagaimana nasib Andi?",Sebuah sekolah ingin merekomendasikan 50 persen siswa terbaiknya di semester 5 untuk PBU. Apakah hal ini sesuai dengan aturan seleksi?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Apakah PBUB bisa untuk gapyear?,Bisa. Gapyear diperbolehkan khususnya untuk jalur PBUB bidang olahraga dan seni.,Apakah PBUB bisa untuk gapyear?,Apa itu kebijakan gapyear dalam jalur PBUB?,Apakah alumni yang mengambil gapyear diperbolehkan mendaftar PBUB?,Bidang apa saja di PBUB yang menerima peserta gapyear?,Bolehkah peserta gapyear mendaftar PBUB bidang olahraga?,Apakah jalur PBUB bidang seni terbuka untuk siswa gapyear?,Siapa saja yang diizinkan mendaftar PBUB bidang olahraga dan seni?,Apakah lulusan tahun lalu masih bisa mendaftar lewat jalur PBUB?,Jalur apa yang bisa diikuti oleh siswa gapyear yang punya prestasi olahraga?,Apakah ada larangan bagi siswa gapyear untuk mendaftar PBUB seni?,Bidang apa yang mengkhususkan penerimaan gapyear pada jalur PBUB?,Tono lulus SMA tahun lalu dan ingin mendaftar PBUB karena punya sertifikat juara renang. Apakah dia masih bisa mendaftar?,Siti sudah menunda kuliah satu tahun dan sekarang berniat mendaftar PBUB bidang seni tari. Apakah status gapyear Siti akan menjadi masalah?,Joni lulus dua tahun lalu dan ingin masuk lewat jalur PBUB olahraga. Apakah aturannya memperbolehkan hal ini?,Reza merupakan siswa gapyear yang jago melukis dan ingin mencoba jalur PBUB bidang seni. Bisakah dia ikut seleksi?,Maria menunda kuliahnya dan tahun ini ingin mendaftar dengan prestasi basketnya di jalur PBUB. Apakah dia punya kesempatan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Apakah ada jalur khusus untuk Ketua OSIS?,Tidak ada jalur khusus untuk Ketua OSIS.,Apakah ada jalur khusus untuk Ketua OSIS?,Apa kebijakan penerimaan mahasiswa baru untuk pengurus OSIS?,Apakah universitas menyediakan jalur khusus bagi Ketua OSIS?,Bisakah jabatan Ketua OSIS digunakan untuk mendaftar jalur khusus?,Apakah ada kuota tersendiri untuk siswa yang pernah menjadi Ketua OSIS?,Bagaimana status Ketua OSIS dalam seleksi penerimaan mahasiswa baru?,Apakah menjadi Ketua OSIS memberikan keuntungan jalur masuk khusus?,Adakah jalur seleksi yang dikhususkan untuk pemimpin organisasi sekolah?,Apakah sertifikat Ketua OSIS menjamin jalur masuk tersendiri?,Disediakankah seleksi mandiri khusus untuk mantan Ketua OSIS?,Apakah jabatan di OSIS memiliki jalur pendaftaran spesifik?,Doni menjabat sebagai Ketua OSIS selama dua periode di SMA dan ingin mencari jalur penerimaan yang mengkhususkan jabatannya. Apakah jalur tersebut tersedia?,Sarah sangat aktif di organisasi dan menjadi Ketua OSIS. Dia berharap ada jalur khusus untuknya masuk universitas. Bagaimana faktanya?,Seorang guru ingin mendaftarkan siswanya yang menjadi Ketua OSIS lewat jalur khusus kepemimpinan. Apakah hal ini memungkinkan?,Bima merasa yakin bisa masuk PTN tanpa tes karena dia adalah Ketua OSIS di sekolah favorit. Apakah memang ada jalur khusus untuk Bima?,Anita membawa piagam penghargaan sebagai Ketua OSIS terbaik dan bertanya tentang jalur khusus pengurus OSIS. Apa jawaban yang tepat untuk Anita?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Minimal lomba tingkat apa untuk jalur prestasi?,"Untuk jalur PBUB bidang IPTEK, minimal juara 1 tingkat provinsi.",Minimal lomba tingkat apa untuk jalur prestasi?,Apa syarat minimal prestasi untuk mendaftar PBUB bidang IPTEK?,Tingkat kejuaraan apa yang diwajibkan untuk PBUB IPTEK?,Berapa posisi juara minimal untuk mendaftar PBUB bidang IPTEK?,Apakah juara 2 tingkat provinsi bisa digunakan untuk PBUB IPTEK?,Bisakah juara 1 tingkat kabupaten mendaftar jalur PBUB IPTEK?,Apa kriteria lomba yang diakui dalam PBUB bidang IPTEK?,Apakah prestasi tingkat nasional wajib untuk jalur PBUB IPTEK?,Sertifikat juara tingkat apa yang paling rendah diterima di PBUB IPTEK?,Apakah juara 1 provinsi memenuhi syarat daftar PBUB IPTEK?,Syarat juara berapa yang diminta untuk seleksi IPTEK jalur PBUB?,Anton menjuarai olimpiade fisika di posisi pertama pada tingkat provinsi. Apakah prestasinya cukup untuk mendaftar PBUB IPTEK?,Dini mendapat juara 2 dalam lomba robotik tingkat provinsi. Apakah dia memenuhi syarat minimal PBUB bidang IPTEK?,Kevin sangat bangga karena berhasil meraih juara 1 karya ilmiah remaja tingkat kabupaten. Bisakah Kevin menggunakan piagam ini untuk PBUB IPTEK?,Rina memenangkan medali emas di kompetisi sains tingkat nasional. Apakah prestasinya memenuhi syarat PBUB IPTEK?,Sekolah ingin mendaftarkan Edo yang merupakan juara 3 lomba matematika provinsi ke jalur PBUB IPTEK. Apakah pendaftaran Edo akan lolos syarat administrasi?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Apakah olahraga tim bisa untuk jalur PBU?,"Untuk jalur PBU bidang olahraga, diperbolehkan untuk cabang tim.",Apakah olahraga tim bisa untuk jalur PBU?,Apa aturan mengenai cabang olahraga beregu pada jalur PBU?,Apakah olahraga tim diperbolehkan mendaftar melalui jalur PBU?,Bisakah atlet dari cabang olahraga beregu ikut seleksi PBU?,Apakah jalur PBU bidang olahraga hanya menerima olahraga individu?,Bolehkah pendaftar jalur PBU menggunakan sertifikat kejuaraan olahraga tim?,Apakah ada larangan bagi cabang olahraga beregu di jalur PBU?,Apakah prestasi olahraga dari permainan tim diakui di jalur PBU?,Bagaimana ketentuan untuk atlet beregu dalam pendaftaran PBU olahraga?,Apakah olahraga beregu bisa dijadikan modal masuk jalur PBU?,Bisakah pemain dari satu tim mendaftar bersama lewat jalur PBU bidang olahraga?,Tim basket SMA 1 baru saja memenangkan kejuaraan nasional. Apakah para pemain di tim tersebut diperbolehkan mendaftar jalur PBU bidang olahraga?,Rudi adalah seorang penjaga gawang andalan yang membawa tim sepak bolanya juara. Bisakah Rudi menggunakan prestasi timnya untuk ikut PBU?,Santi bermain dalam regu bola voli dan meraih medali perak. Apakah sertifikat beregunya sah untuk digunakan mendaftar jalur PBU olahraga?,Sebuah sekolah ragu untuk mendaftarkan atlet futsalnya karena mengira PBU hanya untuk atlet individu seperti renang atau catur. Apakah keraguan sekolah tersebut beralasan?,Dito dan teman-temannya menang lomba lari estafet. Bolehkah Dito mendaftar PBU bidang olahraga dengan prestasinya di lari estafet tersebut?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Apakah sertifikat tahfidz dari SMP bisa dipakai?,"Untuk saat ini, sertifikat tahfidz belum dapat digunakan.",Apakah sertifikat tahfidz dari SMP bisa dipakai?,Apa status penggunaan sertifikat hafalan Al-Quran dalam pendaftaran?,Apakah sertifikat tahfidz bisa dipakai untuk mendaftar?,"Saya punya sertifikat tahfidz, apakah bisa digunakan?",Bisakah sertifikat tahfidz dilampirkan dalam pendaftaran saat ini?,Apakah jalur penerimaan menerima sertifikat tahfidz?,Apakah ada keringanan bagi penghafal Al-Quran menggunakan sertifikat tahfidz?,Bolehkah sertifikat tahfidz dipakai sebagai berkas pendukung seleksi?,Apakah sertifikat tahfidz diakui secara resmi dalam proses ini?,"Saya lulusan SMP dengan sertifikat tahfidz, apakah dokumen ini berlaku?",Apakah sertifikat tahfidz masuk dalam kualifikasi sertifikat yang diterima pendaftaran?,Anak saya hafal 5 juz dan punya sertifikat tahfidz resmi. Bisa tidak sertifikat itu dipakai untuk daftar?,Saya baru saja mendapatkan sertifikat tahfidz dari pesantren. Apakah saya bisa mendaftar menggunakan sertifikat ini?,Rina ingin masuk universitas dan dia memiliki sertifikat tahfidz. Apakah dokumen tersebut bisa ia gunakan?,Budi menyimpan sertifikat tahfidz sewaktu SMP dan ingin melampirkannya di pendaftaran. Apakah langkah Budi ini sah?,Teman saya bilang sertifikat tahfidz bisa dipakai buat daftar. Apakah informasi itu benar untuk pendaftaran saat ini?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Apakah jambore pramuka bisa untuk jalur PBU?,"Sertifikat jambore pramuka belum dapat digunakan, karena yang digunakan adalah sertifikat dari kegiatan yang dikompetisikan secara berjenjang.",Apakah jambore pramuka bisa untuk jalur PBU?,Apa yang dimaksud dengan syarat sertifikat kompetisi berjenjang?,Apakah sertifikat jambore pramuka bisa digunakan untuk mendaftar jalur PBU?,Kenapa sertifikat jambore pramuka tidak bisa dipakai?,Sertifikat kegiatan seperti apa yang bisa digunakan untuk jalur PBU?,Apakah kegiatan pramuka yang tidak dilombakan tetap diakui?,Bisakah saya menggunakan sertifikat keikutsertaan jambore tingkat nasional?,Apakah sertifikat wajib berasal dari kompetisi yang berjenjang?,Apakah partisipasi dalam jambore pramuka masuk hitungan sertifikat PBU?,Mengapa sertifikat kompetisi lebih diutamakan daripada sertifikat jambore?,Apa kriteria sertifikat kegiatan yang sah diterima untuk PBU?,Andi pernah ikut Jambore Nasional Pramuka dan dapat sertifikat penghargaan. Bisa tidak dipakai untuk daftar PBU?,Saya punya sertifikat peserta jambore daerah tapi bukan dari kegiatan lomba berjenjang. Apakah sertifikat ini valid untuk seleksi?,Siti aktif di pramuka dan ikut jambore tanpa kompetisi resmi. Bolehkah ia melampirkan sertifikatnya?,"Budi juara lomba debat tingkat nasional, tapi dia juga mau melampirkan sertifikat jambore pramuka. Apakah sertifikat jamborenya akan dihitung?",Rina bingung memilih antara sertifikat olimpiade sains atau sertifikat jambore nasional. Apakah sertifikat jamborenya bisa digunakan untuk berjaga-jaga?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Apakah ada jalur untuk ketua ekstrakurikuler?,Tidak ada jalur khusus untuk ketua ekstrakurikuler.,Apakah ada jalur untuk ketua ekstrakurikuler?,Apa definisi jalur masuk untuk pengurus organisasi sekolah?,Apakah ada jalur pendaftaran khusus untuk ketua ekstrakurikuler?,Bisakah ketua ekskul mendapatkan hak khusus saat mendaftar?,Apakah jabatan ketua organisasi di sekolah menengah memiliki jalur mandiri?,Adakah kuota tersendiri bagi pendaftar yang pernah menjabat jadi ketua ekskul?,Apakah rekam jejak menjadi ketua ekstrakurikuler membantu masuk lewat jalur khusus?,"Saya ketua ekskul rohis, adakah jalur pendaftaran yang pas untuk saya?",Apakah status ketua ekskul dipertimbangkan sebagai salah satu jalur masuk pendaftaran?,Adakah penerimaan yang dikhususkan bagi pemimpin sebuah ekstrakurikuler?,Bisakah sertifikat ketua ekskul dipakai untuk mendaftar di jalur khusus kepemimpinan?,Doni adalah ketua ekskul robotik selama 2 tahun berturut-turut di SMA. Apakah Doni bisa mendaftar lewat jalur khusus ketua ekskul?,Saya menjabat sebagai ketua PMR di sekolah dan ingin mencari jalur penerimaan khusus organisasi. Apakah jalur tersebut tersedia?,Maya berharap pengalamannya sebagai ketua paduan suara memberikannya jalur masuk khusus. Apakah hal tersebut memungkinkan?,Budi sangat aktif hingga jadi ketua ekstrakurikuler basket sekolahnya. Adakah jalur khusus yang bisa dia manfaatkan karena jabatan tersebut?,Anton baru saja purna tugas dari ketua ekskul KIR dan punya piagam. Bisa tidak jabatan dan piagam itu dijadikan syarat masuk lewat jalur khusus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Berapa syarat lomba dan masa berlaku sertifikat?,"Untuk jalur PBUB bidang IPTEK, minimal juara 1 tingkat provinsi dan sertifikat diperoleh selama masa SMA.",Berapa syarat lomba dan masa berlaku sertifikat?,Apa saja syarat lomba untuk mendaftar PBUB bidang IPTEK?,Berapa tingkat juara minimal yang dipersyaratkan untuk PBUB IPTEK?,Kapan periode sertifikat kejuaraan harus diperoleh?,Apakah juara tingkat kota bisa mendaftar PBUB bidang IPTEK?,Bolehkah menggunakan sertifikat lomba saat masih SMP untuk daftar jalur PBUB?,Berapa lama masa berlaku sertifikat yang bisa dilampirkan untuk pendaftaran PBUB IPTEK?,Apakah juara 2 tingkat provinsi sudah memenuhi syarat untuk PBUB IPTEK?,Di tingkat mana minimal sebuah prestasi IPTEK diakui dan sah untuk PBUB?,Kapan rentang waktu perolehan sertifikat lomba IPTEK diakui valid?,Apakah sertifikat lomba yang didapat selama masa SMA diakui untuk jalur PBUB?,Dinda berhasil menjadi juara 1 lomba karya tulis tingkat provinsi saat dia kelas 11 SMA. Apakah sertifikatnya bisa dipakai daftar PBUB IPTEK?,Raka punya sertifikat juara 1 olimpiade sains tingkat provinsi tapi dia dapatkan waktu masih SMP. Boleh tidak dipakai mendaftar PBUB IPTEK?,Rudi baru saja menang juara 2 lomba fisika tingkat nasional saat kelas 12 SMA. Apakah dia memenuhi syarat minimal PBUB IPTEK?,Saya memenangkan juara 1 cerdas cermat tingkat kabupaten waktu awal masuk SMA. Apakah sertifikat ini cukup untuk daftar PBUB bidang IPTEK?,Lia ingin mendaftar PBUB IPTEK pakai sertifikat juara 1 lomba biologi tingkat provinsi yang didapatnya saat masa SMA bulan lalu. Apakah ini memenuhi syarat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Apakah lomba non-pemerintah bisa digunakan?,"Sertifikat dari lembaga non-pemerintah dapat digunakan, seperti ICHO, IMO, dan sejenisnya.",Apakah lomba non-pemerintah bisa digunakan?,Apa kriteria lomba dari lembaga non-pemerintah yang sah diterima?,Apakah sertifikat kompetisi dari penyelenggara swasta bisa digunakan untuk daftar?,Bolehkah memakai sertifikat lomba yang diselenggarakan pihak non-pemerintah?,Apakah sertifikat olimpiade ICHO termasuk yang diakui?,Bisakah sertifikat dari IMO digunakan sebagai syarat mendaftar?,Apakah lomba sains selain dari Kementerian Pendidikan bisa dipakai?,Sertifikat non-pemerintah seperti apa saja yang diperbolehkan?,Apakah kompetisi tingkat internasional dari lembaga non-pemerintah bisa dilampirkan?,Adakah contoh nama lembaga sertifikat non-pemerintah yang diakui valid?,Bisakah menyertakan sertifikat lomba yang murni diselenggarakan oleh NGO?,Anton mengikuti kompetisi olimpiade kimia internasional atau ICHO dan mendapat medali perak. Apakah dia bisa memakai sertifikat tersebut untuk mendaftar?,"Saya baru saja mendapat penghargaan dari lomba sains bergengsi yang diadakan universitas swasta ternama, bukan dari kementerian. Bolehkah dilampirkan?",Siska punya piagam penghargaan karena ikut International Mathematical Olympiad (IMO) tahun lalu. Apakah piagam ini diakui secara resmi untuk pendaftaran?,Budi ragu untuk melampirkan sertifikat lomba fisika dari yayasan independen karena bukan instansi pemerintah. Apakah sertifikat itu sebenarnya bisa dipakai?,Teman saya menang kompetisi lingkungan hidup dari sebuah lembaga swadaya masyarakat (LSM) internasional. Apakah sertifikatnya valid untuk keperluan mendaftar?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
